dataset,split,family,step_mode,seed,target_gain,preservation_acc,preservation_consistency,drift,objective,feasible_rate,alpha,tau_img,alpha_star_mean,alpha_nonzero_rate,confidence_drop,n
dsprites,id_test,global,auto,7,0.412268071770668,0.8545833333333334,1.0,2.011523227294286,0.2803342805368204,,,7.0,0.5757291666666666,0.5920833333333333,0.0140530008574326,4800
dsprites,id_test,global,auto,11,1.2782888364791871,0.8389583333333334,1.0,4.663580446243286,0.9811624830961228,,,7.0,0.965625,0.8491666666666666,0.0216394306843479,4800
dsprites,id_test,global,auto,17,1.038690317471822,0.871875,1.0,4.702188507715861,0.7402329458793004,,,7.0,0.773125,0.8191666666666667,0.0204075932751099,4800
dsprites,id_test,global,auto,23,0.8967100524902344,0.8689583333333334,1.0,4.3575557565689085,0.6196634597579638,,,7.0,0.6842708333333334,0.7895833333333333,0.019491575906674,4800
dsprites,id_test,global,auto,31,0.757711592912674,0.81375,1.0,4.225451278686523,0.4870247781276703,,,7.0,0.6009375,0.7608333333333334,0.0214496812348564,4800
dsprites,id_test,global,fixed,7,0.2512652673323949,0.795,0.82375,3.748975636164347,-0.0685354019453128,0.753125,1.0,,,,0.1185776722431182,4800
dsprites,id_test,global,fixed,11,1.1566792845726013,0.7954166666666667,0.8375,5.448569666544596,0.7567086853583653,0.7864583333333334,1.0,,,,0.091320509314537,4800
dsprites,id_test,global,fixed,17,1.1720545490582783,0.816875,0.8502083333333333,6.148450845082601,0.7230786140511434,0.7954166666666667,1.0,,,,0.1000861216336488,4800
dsprites,id_test,global,fixed,23,1.107907709678014,0.8104166666666667,0.8297916666666667,6.176079298655192,0.6573442103465398,0.783125,1.0,,,,0.0999984435240427,4800
dsprites,id_test,global,fixed,31,1.119422466357549,0.7520833333333333,0.82,6.615507005055745,0.6456323939810197,0.7691666666666667,1.0,,,,0.096074570864439,4800
dsprites,id_test,local,auto,7,0.4819135152300199,0.8545833333333334,1.0,2.7771756447354954,0.3042926955595612,,,7.0,0.3145833333333333,0.48125,0.0137378536971906,4800
dsprites,id_test,local,auto,11,0.6609393228093783,0.8389583333333334,1.0,3.986689094007015,0.4081886674572403,,,7.0,0.5796875,0.71125,0.0169366387029488,4800
dsprites,id_test,local,auto,17,0.6550885564088822,0.871875,1.0,4.022840572992961,0.4011796825720618,,,7.0,0.5204166666666666,0.700625,0.0156730606655279,4800
dsprites,id_test,local,auto,23,0.6499204545219739,0.8689583333333334,1.0,4.090227333704631,0.3912291036297877,,,7.0,0.5817708333333333,0.7358333333333333,0.0165971431260307,4800
dsprites,id_test,local,auto,31,0.6516594136754672,0.81375,1.0,4.112435922622681,0.389850981036822,,,7.0,0.5788541666666667,0.7354166666666667,0.0188278617834051,4800
dsprites,id_test,local,fixed,7,1.2148786894480388,0.7958333333333333,0.826875,9.209806785583496,0.5708749543875455,0.7516666666666667,1.0,,,,0.1142691629131635,4800
dsprites,id_test,local,fixed,11,1.0554341912269591,0.7929166666666667,0.83875,7.46171989440918,0.5337829675277074,0.7904166666666667,1.0,,,,0.0924350563685099,4800
dsprites,id_test,local,fixed,17,1.0788935057322184,0.8210416666666667,0.8604166666666667,7.732595252990722,0.5407376592854659,0.81625,1.0,,,,0.0927501757939656,4800
dsprites,id_test,local,fixed,23,1.0421290457248689,0.8154166666666667,0.8470833333333333,7.393554293314616,0.5245175486803055,0.8010416666666667,1.0,,,,0.0924978241572777,4800
dsprites,id_test,local,fixed,31,1.0781671905517578,0.7595833333333334,0.8214583333333333,7.398612912495931,0.560902583176891,0.7797916666666667,1.0,,,,0.0916848048071066,4800
dsprites,ood_test,global,auto,7,0.4094254126151402,0.838125,1.0,2.000575829943021,0.2779608708744248,,,7.0,0.5691666666666667,0.58875,0.0142874944210052,4800
dsprites,ood_test,global,auto,11,1.2621637471516929,0.7947916666666667,1.0,4.687691748936971,0.9652092478672664,,,7.0,0.9635416666666666,0.8489583333333334,0.0196162549157937,4800
dsprites,ood_test,global,auto,17,1.0244259281953176,0.8485416666666666,1.0,4.700717334747314,0.728340246528387,,,7.0,0.7646875,0.819375,0.0175533094877998,4800
dsprites,ood_test,global,auto,23,0.8794035808245341,0.805625,1.0,4.284766778945923,0.607638200223446,,,7.0,0.6765625,0.7735416666666667,0.0183492235963543,4800
dsprites,ood_test,global,auto,31,0.7223256723086039,0.75,1.0,4.117250509262085,0.4601389351983865,,,7.0,0.5783333333333334,0.7525,0.0189396423722306,4800
dsprites,ood_test,global,fixed,7,0.2317280261715253,0.76875,0.8183333333333334,3.7001475429534914,-0.0827377900481224,0.7522916666666667,1.0,,,,0.1155712060133616,4800
dsprites,ood_test,global,fixed,11,1.148882116874059,0.763125,0.8460416666666667,5.477810338338216,0.7512762342641751,0.8070833333333334,1.0,,,,0.0861715785165627,4800
dsprites,ood_test,global,fixed,17,1.16544398466746,0.79125,0.840625,6.143874893188476,0.7182622883717219,0.7902083333333333,1.0,,,,0.0981865149488051,4800
dsprites,ood_test,global,fixed,23,1.1136307895183564,0.7522916666666667,0.815625,6.1715736643473305,0.6639687688648701,0.7783333333333333,1.0,,,,0.0992095126459995,4800
dsprites,ood_test,global,fixed,31,1.1032878430684407,0.7125,0.8220833333333334,6.605471585591634,0.6375869448855519,0.7877083333333333,1.0,,,,0.0867157732446988,4800
dsprites,ood_test,local,auto,7,0.4732809923589229,0.838125,1.0,2.7319153826435407,0.2981363791537781,,,7.0,0.3067708333333333,0.47625,0.0140371103212237,4800
dsprites,ood_test,local,auto,11,0.6353225453694662,0.7947916666666667,1.0,3.8421449067195255,0.3907344554923475,,,7.0,0.5558333333333333,0.6904166666666667,0.0175742577140529,4800
dsprites,ood_test,local,auto,17,0.6359871622920036,0.8485416666666666,1.0,3.988742342789968,0.3851846714441975,,,7.0,0.5047916666666666,0.6929166666666666,0.0143474465236067,4800
dsprites,ood_test,local,auto,23,0.625727807978789,0.805625,1.0,3.999327130317688,0.3727382397154967,,,7.0,0.5665625,0.724375,0.0162874415889382,4800
dsprites,ood_test,local,auto,31,0.6180224704742432,0.75,1.0,3.995180071194967,0.3648047897219658,,,7.0,0.5660416666666667,0.7235416666666666,0.0168835938349366,4800
dsprites,ood_test,local,fixed,7,1.2070057849089304,0.7814583333333334,0.8322916666666667,9.143593254089357,0.5721904692053795,0.7622916666666667,1.0,,,,0.107749674518903,4800
dsprites,ood_test,local,fixed,11,1.0566225270430247,0.7664583333333334,0.8516666666666667,7.496515846252441,0.5374058351665735,0.810625,1.0,,,,0.0867822044094403,4800
dsprites,ood_test,local,fixed,17,1.0726433976491292,0.7995833333333333,0.8577083333333333,7.794518076578776,0.5339666193723679,0.8191666666666667,1.0,,,,0.088757121724387,4800
dsprites,ood_test,local,fixed,23,1.0460614085197448,0.7654166666666666,0.835,7.4356285349528,0.5261584343016148,0.7954166666666667,1.0,,,,0.0922065851340691,4800
dsprites,ood_test,local,fixed,31,1.0628537408510843,0.7210416666666667,0.830625,7.406823094685873,0.5518181630969048,0.7939583333333333,1.0,,,,0.0832827476163705,4800
