cond,digit_acc,probe_margin,probe_p_thick,digit_acc_drop_vs_orig,probe_margin_gain_vs_recon
aug_thick,0.974,9.09777261505127,0.9881980878829956,0.016900000000000026,9.504969264316559
aug_thin,0.8127,-7.5263980133056645,0.008734054016321897,0.17820000000000003,-7.119201364040375
orig,0.9909,-0.6814946540832519,0.42184047327041624,0.0,-0.2742980048179626
recon_aug_thick,0.8866,7.944444409179687,0.9832923103332519,0.10429999999999995,8.351641058444976
recon_aug_thin,0.8582,-5.578481813049317,0.023436605834960936,0.13270000000000004,-5.171285163784027
recon_orig,0.9722,-0.4071966492652893,0.4439245434761047,0.01870000000000005,0.0
steer_a=-0.5,0.9711,-1.6473234308242797,0.32003533821105956,0.01980000000000004,-1.2401267815589905
steer_a=-1.0,0.9678,-2.8081538573265075,0.2134687231063843,0.02310000000000001,-2.400957208061218
steer_a=-2.0,0.9522,-4.810618517303467,0.07280695304870606,0.03869999999999996,-4.403421868038177
steer_a=-4.0,0.8063,-7.213320882415771,0.004761052479594946,0.1846,-6.806124233150482
steer_a=0.0,0.9722,-0.4071966492652893,0.4439245434761047,0.01870000000000005,0.0
steer_a=0.5,0.9712,0.888652130317688,0.5730521642684937,0.01970000000000005,1.2958487795829772
steer_a=1.0,0.9671,2.2209098554611204,0.6958233017921448,0.023800000000000043,2.62810650472641
steer_a=2.0,0.9479,4.924542752075196,0.8800238376617432,0.04300000000000004,5.331739401340485
steer_a=4.0,0.8439,9.99781884765625,0.9908765169143676,0.14700000000000002,10.40501549692154
